素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
老选题,英语,大人抖腿舞3.09迭对比模板+老年白发女性,创意搜集TXH,创意提需ZXL,模板制作ZN,素材制作FDJ,20260309,154.93,1087.0,76.0,208.54,10,2.0385526315789475,0.14252989880404784,0.06991720331186753,1.3460272381075322,50.025496452578054,1.3190169479063294,0.002902355542925789,,,,,,,,
新选题,英语,恒河边丝巾飞舞,创意搜集ZHC,创意提需ZHC,模板制作ZN,素材制作ZN,20260306,402.01,1693.0,185.0,483.43,12,2.173027027027027,0.2374542232722977,0.10927347903130538,1.2025322753165344,45.56749940076177,-157.0785905193805,0.0026437135829014418,,,,,,,,
新选题,英语,竞品复刻+大雨淋湿的人物半脸黑白写真（男女通用)3.09测试,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXR,20260309,62.59,306.0,34.0,99.85,8,1.8408823529411766,0.20454248366013073,0.1111111111111111,1.5953027640198112,30.0842237356314,-18.508875090012967,0.0017454122338695873,,,,,,,,
新选题,英语,情侣夕阳泛舟恒河上,创意搜集ZHC,创意提需ZHC,模板制作CF,素材制作WXR,20260309,555.37,2228.0,240.0,594.15,13,2.3140416666666668,0.24926840215439858,0.10771992818671454,1.0698273223256567,18.23440166695853,-227.89532787309182,0.0010579148734725845,,,,,,,,
老选题,英语,西装帅气模特路上拿玫瑰+竞品选题,创意搜集TXH,创意提需ZXL,模板制作ZN,素材制作ZZS,20260304,7.7,291.0,8.0,30.35,2,0.9625,0.026460481099656357,0.027491408934707903,3.9415584415584415,10.137404949767216,27.614862190828383,0.0005881471556155628,,,,,,,,
新选题,英语,竞品复刻+双重曝光夕阳+下雨,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作WXR,20260310,28.03,109.0,12.0,29.450000000000003,8,2.3358333333333334,0.2571559633027523,0.11009174311926606,1.0506600071352123,6.223488352721921,-11.453158887955068,0.0003610713975418367,,,,,,,,
老选题,英语,手臂纹身+高种姓女生眼睛+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作ZN,20260324,418.80000000000007,3337.0,174.0,421.56,3,2.4068965517241385,0.12550194785735694,0.05214264309259814,1.006590257879656,4.391747178790258,32.9486448497559,0.0002547983062911456,Minimix,561.16,227.0,2.4720704845814976,0.12630204816565382,0.05109160477155075,0.06517393285735906,11.340264317180477
新选题,英语,情侣双人在现场看时装秀,创意搜集QCH,创意提需QCH,模板制作ZN,素材制作ZN,20260310,5.53,19.0,3.0,8.8,8,1.8433333333333335,0.2910526315789474,0.15789473684210525,1.5913200723327305,1.860418679549114,-2.9368590715793856,0.0001079368891795132,,,,,,,,
老选题,英语,恶魔夫妇+青少年模特+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作ZN,20260316,5.22,10.0,3.0,9.11,4,1.74,0.522,0.3,1.7452107279693487,1.633000968054211,-3.7189398019550053,9.474267618169868e-05,,,,,,,,
老选题,英语,双重构图在雨中+青少年模特+竞,创意搜集TXH,创意提需人TXH,模板制作ZXL,素材制作FDJ,20260316,5.79,18.0,3.0,8.55,8,1.93,0.32166666666666666,0.16666666666666666,1.4766839378238343,1.0630009680542107,-3.118324210165701,6.167268634089932e-05,,,,,,,,
