素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
老选题,英语,test母婴黑白滤镜壁纸+男孩+竞,创意搜集ZXL,创意提需TXH,模板制作ZXL,素材制作,WXX,0.0,0.0,0.0,0.0,1,,,,,0.0,0.0,-0.0,,,,,,,,
老选题,英语,test恶魔夫妇+成年模特+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作ZN,20260326,0.0,0.0,0.0,0.0,3,,,,,0.0,0.0,-0.0,,,,,,,,
老选题,英语,test情侣玫瑰写真+高种姓女低种姓男+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作FDJ,20260326,0.0,0.0,0.0,0.0,1,,,,,0.0,0.0,-0.0,,,,,,,,
老选题,英语,test母婴黑白滤镜壁纸+女孩+竞,创意搜集ZXL,创意提需TXH,模板制作ZXL,素材制作,WXX,0.0,1.0,0.0,0.0,1,,0.0,0.0,,0.0,0.13595756002386442,-0.0,,,,,,,,
老选题,英语,一家三口的合影壁纸形变+家庭+竞,创意搜集ZXL,创意提需ZXL,模板制作CF,素材制作LQX,20260323,0.0,1.0,0.0,0.0,2,,0.0,0.0,,0.0,0.13595756002386442,-0.0,CoupleLens,3448.53,1187.0,2.9052485256950296,0.153302067126028,0.05276728161813737,,
老选题,英语,test精神小伙卡牌+青少年学生 +竞,创意搜集TXH,创意提需TXH,模板制作ZXL,素材制作WXR,20260326,0.0,0.0,0.0,0.0,1,,,,,0.0,0.0,-0.0,CoupleLens,1008.04,310.0,3.251741935483871,0.14365683340458885,0.04417842382784666,,
老选题,英语,test精神小伙卡牌+青年男模特+竞,创意搜集TXH,创意提需TXH,模板制作ZXL,素材制作WXR,20260326,0.0,0.0,0.0,0.0,3,,,,,0.0,0.0,-0.0,,,,,,,,
老选题,英语,情侣极光下赏月+青年校服情侣+竞,创意搜集TXH,创意提需人TXH,模板制作WXR,素材制作WXR,20260323,0.0,0.0,0.0,0.0,1,,,,,0.0,0.0,-0.0,,,,,,,,
老选题,英语,情侣极光下赏月+双重曝光测试+竞,创意搜集TXH,创意提需TXH,模板制作WXR,素材制作FDJ,20260324,0.0,1.0,0.0,0.0,1,,0.0,0.0,,0.0,0.14584959053295032,-0.0,CoupleLens,5142.349999999999,1828.0,2.8131017505470455,0.20606491685033057,0.07325185333600481,,
老选题,英语,情侣极光下赏月+传统服饰情侣+竞,创意搜集TXH,创意提需人TXH,模板制作WXR,素材制作WXR,20260323,0.0,0.0,0.0,0.0,4,,,,,0.0,0.0,-0.0,,,,,,,,
