package,素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,cpa_pull,cpi_pull,group,period
CoupleLens,老选题,英语,双人黑白合照+选题回捞测试+竞,创意搜集ZXL,创意提需ZXL,模板制作ZN,素材制作WXR,20260331,85.69,228.0,29.0,53.67,9,2.9548275862068967,0.3758333333333333,0.12719298245614036,0.6263274594468433,2.0626836597330107,-53.07048763734771,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,划线变装+传统服饰+竞,创意搜集TXH,创意提需ZXL,模板制作FDJ,素材制作WXR,20260407,4.67,9.0,2.0,4.91,2,2.335,0.5188888888888888,0.2222222222222222,1.051391862955032,1.9939215686274503,-3.3360003171834114,Beatmo,2026-03-31~2026-04-17
Minimix,老选题,英语,minimix01历史跑出素材汇总,创意搜集,创意提需,模板制作,素材制作,20260410,10.8,56.0,4.0,8.4,4,2.7,0.19285714285714287,0.07142857142857142,0.7777777777777778,1.543509730722155,-1.9386935151171159,Beatmo,2026-03-31~2026-04-17
Minimix,老选题,英语,竞品选题图片版+双重曝光男生King1号构图+2.05迭下沉市场男模特,创意搜集ZXL,创意提需TXH,模板制作ZN,素材制作ZN,20260205,2.05,4.0,1.0,2.73,1,2.05,0.5125,0.25,1.3317073170731708,1.0780794270833334,-1.5017808141027467,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,跑车彩绘墙侧面+青年女模特+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260318,5.73,40.0,2.0,9.46,8,2.865,0.14325000000000002,0.05,1.6509598603839442,0.4240479421076433,-0.15731046508920277,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,印地语,v2v宝宝跳舞+1.28迭代新舞蹈动作+baby模特+印地语+教程,创意搜集ZXL,创意提需TXH,模板制作CF,素材制作FDJ,20260128,17.32,43.0,6.0,11.5,5,2.8866666666666667,0.4027906976744186,0.13953488372093023,0.663972286374134,0.025420981116653696,-11.523226384645426,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,简单在雨中+单女+原,创意搜集QCH,创意提需QCH,模板制作CF,素材制作FDJ,20260403,6.48,13.0,2.0,3.15,4,3.24,0.4984615384615385,0.15384615384615385,0.48611111111111105,-0.19236580516898627,-4.570257791815691,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,双重沙漠+情侣+原,创意搜集ZJX,创意提需ZJX,模板制作FDJ,素材制作FDJ,20260403,6.59,15.0,2.0,3.04,5,3.295,0.4393333333333333,0.13333333333333333,0.46130500758725346,-0.2997638436482086,-4.481195580955154,Beatmo,2026-03-31~2026-04-17
Vimi,老选题,英语,竞品复刻+情侣写真+纯色背景玫瑰,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作ZN,20260306,13.62,56.0,4.0,5.65,2,3.405,0.2432142857142857,0.07142857142857142,0.4148311306901616,-0.995406194064647,-6.469658257041023,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,印度男偶像+单男+原,创意搜集QCH,创意提需QCH,模板制作CF,素材制作CF,20260403,7.9,37.0,2.0,1.76,4,3.95,0.21351351351351353,0.05405405405405406,0.22278481012658227,-1.6097638436482091,-2.685649861995211,Beatmo,2026-03-31~2026-04-17
